reproduction_minimum,newborn_energy,transferred_energy,amount_of_iterations,immunological_time_span,bite_transfer,mahalanobis,immunological_maturity,good_agent_energy,evaluation_method,fitness_calls,iemas_fitness,time_elapsed
80,110,50,20,26,15,1.4,15,110,70.0,75,87.7553527522,1080
80,110,50,20,20,15,1.4,15,110,40.0,58,82.2755020129,1010
80,110,50,20,26,15,1.4,15,110,60.0,71,90.530539372,1180
80,110,50,20,26,15,1.4,15,110,20.0,76,88.8130438019,1140
80,110,50,20,26,15,1.2,15,110,70.0,78,89.4084190919,1050
80,110,50,20,20,15,1.4,15,110,50.0,60,79.1013925134,1080
80,110,50,20,20,15,1.2,15,110,85.0,57,83.7485305171,980
80,110,50,20,20,15,1.2,15,110,50.0,61,82.1802681552,1090
80,110,50,20,20,15,1.2,15,110,80.0,60,84.0773189428,1140
80,110,50,20,20,15,1.4,15,110,55.0,61,81.3903075119,1120
80,110,50,20,20,15,1.4,15,110,90.0,58,75.7372790227,1060
80,110,50,20,20,15,1.2,15,110,35.0,63,82.2224651983,1080
80,110,50,20,23,15,1.4,15,110,20.0,69,84.1374914026,1040
80,110,50,20,20,15,1.4,15,110,25.0,59,75.2575982321,1080
80,110,50,20,20,15,1.2,15,110,40.0,59,81.7099212072,1090
80,110,50,20,23,15,1.2,15,110,40.0,65,86.8574735256,1070
80,110,50,20,26,15,1.2,15,110,100.0,79,95.2052936239,1210
80,110,50,20,23,15,1.2,15,110,75.0,64,91.154966426,1170
80,110,50,20,23,15,1.4,15,110,55.0,66,84.1699349754,1260
80,110,50,20,23,15,1.4,15,110,60.0,66,82.5475786004,1190
80,110,50,20,20,15,1.2,15,110,25.0,57,78.6326550418,1030
80,110,50,20,26,15,1.2,15,110,75.0,74,94.4641598124,1000
80,110,50,20,26,15,1.4,15,110,10.0,72,89.5086869035,1080
80,110,50,20,23,15,1.4,15,110,25.0,63,86.9095969057,1060
80,110,50,20,23,15,1.4,15,110,95.0,69,83.5291461434,1140
80,110,50,20,26,15,1.2,15,110,80.0,73,92.100187622,1150
80,110,50,20,23,15,1.4,15,110,65.0,67,84.8745768978,1100
80,110,50,20,23,15,1.4,15,110,85.0,65,85.4560772171,1190
80,110,50,20,20,15,1.2,15,110,20.0,58,78.1839403886,1160
80,110,50,20,23,15,1.4,15,110,10.0,66,86.3905049683,1120
80,110,50,20,20,15,1.2,15,110,10.0,61,80.750930519,1100
80,110,50,20,23,15,1.4,15,110,75.0,61,80.3810795404,1100
80,110,50,20,20,15,1.2,15,110,15.0,59,81.7933108519,1050
80,110,50,20,23,15,1.2,15,110,35.0,60,91.3908137476,1060
80,110,50,20,26,15,1.2,15,110,20.0,73,98.7410460445,1160
80,110,50,20,26,15,1.2,15,110,10.0,76,93.6795492047,1170
80,110,50,20,20,15,1.2,15,110,70.0,58,80.9926273116,1110
80,110,50,20,20,15,1.4,15,110,65.0,57,78.4220119206,930
80,110,50,20,23,15,1.2,15,110,70.0,67,88.3158309294,1220
80,110,50,20,20,15,1.2,15,110,65.0,60,78.7861787382,980
80,110,50,20,20,15,1.4,15,110,60.0,56,76.5945748117,1040
